ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
43;VALERCI MARTINS DA SILVA;247;SCHARLAU;2024;27/01/2024;08:30:00;SAO LEOPOLDO;VALERCI MARTINS DA SILVA, 247, SCHARLAU, SAO LEOPOLDO;VEICULO;sábado;-29.72890635724272, -51.161399867605375;;;;;;;;;;;;;;
44;ARY EUGENIO STURMER;74;SCHARLAU;2024;28/01/2024;16:30:00;SAO LEOPOLDO;ARY EUGENIO STURMER, 74, SCHARLAU, SAO LEOPOLDO;VEICULO;domingo;-29.734760,-51.159138;;;;;;;;;;;;;;
45;SANTO ANGELO;490;SANTA TERESA;2024;29/01/2024;07:30:00;SAO LEOPOLDO;SANTO ANGELO, 490, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.791556,-51.134243;;;;;;;;;;;;;;
46;GUILHERME MULLER;0;CAMPINA;2024;29/01/2024;09:30:00;SAO LEOPOLDO;GUILHERME MULLER, 0, CAMPINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.739830,-51.156883;;;;;;;;;;;;;;
47;GOV ROBERTO SILVEIRA;218;SANTOS DUMONT;2024;29/01/2024;23:30:00;SAO LEOPOLDO;GOV ROBERTO SILVEIRA, 218, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;segunda-feira;-29.738636559255372, -51.14655467435175;;;;;;;;;;;;;;
48;JOSE PEDRO DA SILVEIRA;81;SCHARLAU;2024;29/01/2024;22:30:00;SAO LEOPOLDO;JOSE PEDRO DA SILVEIRA, 81, SCHARLAU, SAO LEOPOLDO;VEICULO;segunda-feira;-29.718926,-51.158808;;;;;;;;;;;;;;
49;HENRIQUE BIER;58;CAMPINA;2024;01/02/2024;22:00:00;SAO LEOPOLDO;HENRIQUE BIER, 58, CAMPINA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.749972,-51.151762;;;;;;;;;;;;;;
50;LINDOLFO COLLOR;0;CENTRO;2024;01/02/2024;00:30:00;SAO LEOPOLDO;LINDOLFO COLLOR, 0, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.768149,-51.143453;;;;;;;;;;;;;;
51;BRASIL;1601;SAO MIGUEL;2024;03/02/2024;09:00:00;SAO LEOPOLDO;BRASIL, 1601, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;sábado;-29.763704,-51.157280;;;;;;;;;;;;;;
52;DOS PAMPAS;158;SCHARLAU;2024;03/02/2024;23:00:00;SAO LEOPOLDO;DOS PAMPAS, 158, SCHARLAU, SAO LEOPOLDO;VEICULO;sábado;-29.735494,-51.157270;;;;;;;;;;;;;;
