ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
208;UNISINOS;81;SAO JOAO BATISTA;2024;25/05/2024;17:00:00;SAO LEOPOLDO;UNISINOS, 81, SAO JOAO BATISTA, SAO LEOPOLDO;PEDESTRE;sábado;-29.791607599811304, -51.162477207889054;;;;;;;;;;;;;;
209;CORONEL ATALIBIO TAURINO DE REZENDE;0;RIO DOS SINOS;2024;27/05/2024;23:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 0, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.744991,-51.149716;;;;;;;;;;;;;;
210;HENRIQUE BIER;2847;ARROIO DA MANTEIGA;2024;30/05/2024;19:30:00;SAO LEOPOLDO;HENRIQUE BIER, 2847, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.734331,-51.172794;;;;;;;;;;;;;;
211;INDEPENDENCIA;346;CENTRO;2024;01/06/2024;22:00:00;SAO LEOPOLDO;INDEPENDENCIA, 346, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.762730,-51.146656;;;;;;;;;;;;;;
212;SAO PEDRO;1112;CENTRO;2024;04/06/2024;12:30:00;SAO LEOPOLDO;SAO PEDRO, 1112, CENTRO, SAO LEOPOLDO;VEICULO;terça-feira;-29.769030,-51.150576;;;;;;;;;;;;;;
213;DOM JOAO BECKER;0;SAO MIGUEL;2024;05/06/2024;21:30:00;SAO LEOPOLDO;DOM JOAO BECKER, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.761973,-51.154528;;;;;;;;;;;;;;
214;GASPAR SILVEIRA MARTINS;41;SANTOS DUMONT;2024;06/06/2024;06:30:00;SAO LEOPOLDO;GASPAR SILVEIRA MARTINS, 41, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.735219458939827, -51.14421791852898;;;;;;;;;;;;;;
215;JOAO CORREA;0;SAO JOSE;2024;06/06/2024;19:00:00;SAO LEOPOLDO;JOAO CORREA, 0, SAO JOSE, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.769958,-51.134929;;;;;;;;;;;;;;
216;SANTO ANTONIO;660;CENTRO;2024;06/06/2024;14:30:00;SAO LEOPOLDO;SANTO ANTONIO, 660, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.764435,-51.152448;;;;;;;;;;;;;;
217;UM;313;SANTOS DUMONT;2024;07/06/2024;05:30:00;SAO LEOPOLDO;UM, 313, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.736344523171848, -51.14265548969347;;;;;;;;;;;;;;
218;FRANCELINO DIAS;460;JARDIM AMERICA;2024;08/06/2024;17:00:00;SAO LEOPOLDO;FRANCELINO DIAS, 460, JARDIM AMERICA, SAO LEOPOLDO;COMERCIO;sábado;-29.785595,-51.131139;;;;;;;;;;;;;;
219;CHANANECO FONTOURA;25;VICENTINA;2024;10/06/2024;07:30:00;SAO LEOPOLDO;CHANANECO FONTOURA, 25, VICENTINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.773843349964523, -51.15775697435068;;;;;;;;;;;;;;
220;MAUA;0;RIO DOS SINOS;2024;12/06/2024;18:00:00;SAO LEOPOLDO;MAUA, 0, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.744475,-51.144274;;;;;;;;;;;;;;
221;SAO JOAQUIM;579;CENTRO;2024;13/06/2024;22:00:00;SAO LEOPOLDO;SAO JOAQUIM, 579, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.763385,-51.144579;;;;;;;;;;;;;;
222;AMAPA;0;SAO JOAO BATISTA;2024;14/06/2024;14:30:00;SAO LEOPOLDO;AMAPA, 0, SAO JOAO BATISTA, SAO LEOPOLDO;VEICULO;sexta-feira;-29.793828,-51.164161;;;;;;;;;;;;;;
223;SAO JOAO;251;CENTRO;2024;18/06/2024;09:00:00;SAO LEOPOLDO;SAO JOAO, 251, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.76148087921361, -51.151545559009385;;;;;;;;;;;;;;
224;OSCAR BALDUINO PETRY;0;FAZENDA SAO BORJA;2024;18/06/2024;21:00:00;SAO LEOPOLDO;OSCAR BALDUINO PETRY, 0, FAZENDA SAO BORJA, SAO LEOPOLDO;VEICULO;terça-feira;-29.789998652961437, -51.121341932020826;;;;;;;;;;;;;;
225;DOUTOR HILLEBRAND;1280;RIO DOS SINOS;2024;19/06/2024;19:30:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 1280, RIO DOS SINOS, SAO LEOPOLDO;COMERCIO;quarta-feira;-29.746563,-51.147494;;;;;;;;;;;;;;
226;SAO PEDRO;0;CENTRO;2024;20/06/2024;10:00:00;SAO LEOPOLDO;SAO PEDRO, 0, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.764253,-51.151608;;;;;;;;;;;;;;
227;JULIANA FORTUNA;56;CAMPESTRE;2024;24/06/2024;22:00:00;SAO LEOPOLDO;JULIANA FORTUNA, 56, CAMPESTRE, SAO LEOPOLDO;VEICULO;segunda-feira;-29.765436101717196, -51.11300833202194;;;;;;;;;;;;;;
228;CATULO CEARENSE;0;SCHARLAU;2024;25/06/2024;07:30:00;SAO LEOPOLDO;CATULO CEARENSE, 0, SCHARLAU, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.73578361168995, -51.155304952565125;;;;;;;;;;;;;;
229;FLORES DA CUNHA;0;CENTRO;2024;25/06/2024;19:30:00;SAO LEOPOLDO;FLORES DA CUNHA, 0, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.759819165511274, -51.143092042744144;;;;;;;;;;;;;;
230;OTTO DAUDT;1771;FEITORIA;2024;27/06/2024;04:00:00;SAO LEOPOLDO;OTTO DAUDT, 1771, FEITORIA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.739130,-51.097766;;;;;;;;;;;;;;
231;HONESTINO GUIMARAES;154;CAMPINA;2024;01/07/2024;19:30:00;SAO LEOPOLDO;HONESTINO GUIMARAES, 154, CAMPINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.745646614408514, -51.16249610318708;;;;;;;;;;;;;;
232;ARTUR CORREA DA SILVA;179;CAMPESTRE;2024;01/07/2024;19:30:00;SAO LEOPOLDO;ARTUR CORREA DA SILVA, 179, CAMPESTRE, SAO LEOPOLDO;VEICULO;segunda-feira;-29.78121453010088, -51.10509370872333;;;;;;;;;;;;;;
233;TIRADENTES;102;SANTOS DUMONT;2024;01/07/2024;12:00:00;SAO LEOPOLDO;TIRADENTES, 102, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;segunda-feira;-29.738792,-51.149849;;;;;;;;;;;;;;
234;DA MORRO DO PAULA;0;SANTO ANDRE;2024;01/07/2024;20:00:00;SAO LEOPOLDO;DA MORRO DO PAULA, 0, SANTO ANDRE, SAO LEOPOLDO;VEICULO;segunda-feira;-29.81032038418977, -51.06853004736183;;;;;;;;;;;;;;
235;QUATRO COLONIAS;281;CAMPINA;2024;02/07/2024;20:00:00;SAO LEOPOLDO;QUATRO COLONIAS, 281, CAMPINA, SAO LEOPOLDO;VEICULO;terça-feira;-29.744996,-51.165718;;;;;;;;;;;;;;
236;INDEPENDENCIA;345;CENTRO;2024;03/07/2024;21:00:00;SAO LEOPOLDO;INDEPENDENCIA, 345, CENTRO, SAO LEOPOLDO;COMERCIO;quarta-feira;-29.762638,-51.146436;;;;;;;;;;;;;;
237;PRACA TIRADENTES;119;CENTRO;2024;03/07/2024;17:00:00;SAO LEOPOLDO;PRACA TIRADENTES, 119, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.761973375061398, -51.148112860857296;;;;;;;;;;;;;;
238;OITAVO BC;408;FIAO;2024;04/07/2024;19:30:00;SAO LEOPOLDO;OITAVO BC, 408, FIAO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.777548150651544, -51.15199127435053;;;;;;;;;;;;;;
239;PEDRO PERES;375;RIO BRANCO;2024;05/07/2024;20:30:00;SAO LEOPOLDO;PEDRO PERES, 375, RIO BRANCO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.771125236663586, -51.13334277619854;;;;;;;;;;;;;;
240;SAO JOAO;1052;CENTRO;2024;05/07/2024;09:00:00;SAO LEOPOLDO;SAO JOAO, 1052, CENTRO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.768646,-51.149701;;;;;;;;;;;;;;
241;CONCEICAO;769;CENTRO;2024;08/07/2024;02:30:00;SAO LEOPOLDO;CONCEICAO, 769, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.76741932763982, -51.14767063202153;;;;;;;;;;;;;;
242;CORONEL ATALIBIO TAURINO DE REZENDE;1670;SCHARLAU;2024;11/07/2024;11:30:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1670, SCHARLAU, SAO LEOPOLDO;COMERCIO;quinta-feira;-29.744034951665373, -51.151725932022416;;;;;;;;;;;;;;
243;PRESERVACAO;0;ARROIO DA MANTEIGA;2024;11/07/2024;22:30:00;SAO LEOPOLDO;PRESERVACAO, 0, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.731624,-51.175019;;;;;;;;;;;;;;
244;EMILIA PRASS;231;PADRE REUS;2024;12/07/2024;06:30:00;SAO LEOPOLDO;EMILIA PRASS, 231, PADRE REUS, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.785252,-51.143596;;;;;;;;;;;;;;
245;SAO JOAO;1133;CENTRO;2024;13/07/2024;19:30:00;SAO LEOPOLDO;SAO JOAO, 1133, CENTRO, SAO LEOPOLDO;VEICULO;sábado;-29.769354,-51.149587;;;;;;;;;;;;;;
246;ADAO HOEFEL;476;RIO DOS SINOS;2024;14/07/2024;21:30:00;SAO LEOPOLDO;ADAO HOEFEL, 476, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;domingo;-29.756636231654657, -51.151423732021996;;;;;;;;;;;;;;
247;ARNO SCHUCH;410;VICENTINA;2024;15/07/2024;22:30:00;SAO LEOPOLDO;ARNO SCHUCH, 410, VICENTINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.774677,-51.159714;;;;;;;;;;;;;;
248;HENRIQUE BIER;0;ARROIO DA MANTEIGA;2024;16/07/2024;12:00:00;SAO LEOPOLDO;HENRIQUE BIER, 0, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.731504,-51.181773;;;;;;;;;;;;;;
249;JOAO CORREA;0;SAO JOSE;2024;16/07/2024;05:00:00;SAO LEOPOLDO;JOAO CORREA, 0, SAO JOSE, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.769958,-51.134929;;;;;;;;;;;;;;
250;FEITORIA;319;SAO JOSE;2024;17/07/2024;20:00:00;SAO LEOPOLDO;FEITORIA, 319, SAO JOSE, SAO LEOPOLDO;COMERCIO;quarta-feira;-29.770130975057153, -51.131741976198626;;;;;;;;;;;;;;
251;FELIPE UEBEL;141;SANTO ANDRE;2024;18/07/2024;21:00:00;SAO LEOPOLDO;FELIPE UEBEL, 141, SANTO ANDRE, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.776274599696123, -51.12587181667963;;;;;;;;;;;;;;
252;ANTONIO CORNELI;155;FEITORIA;2024;18/07/2024;20:00:00;SAO LEOPOLDO;ANTONIO CORNELI, 155, FEITORIA, SAO LEOPOLDO;VEICULO;quinta-feira;-29.746698,-51.097556;;;;;;;;;;;;;;
253;ARTUR MANOEL SCHEFER;121;CAMPESTRE;2024;19/07/2024;23:00:00;SAO LEOPOLDO;ARTUR MANOEL SCHEFER, 121, CAMPESTRE, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.76982603630175, -51.11228633202156;;;;;;;;;;;;;;
254;SENADOR SALGADO FILHO;8342;SANTOS DUMONT;2024;19/07/2024;01:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 8342, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.730495677669875, -51.14940776372552;;;;;;;;;;;;;;
255;BRASIL;1;SAO MIGUEL;2024;20/07/2024;20:00:00;SAO LEOPOLDO;BRASIL, 1, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;sábado;-29.764150,-51.156899;;;;;;;;;;;;;;
256;JOCOB WEBEL;0;SANTO ANDRE;2024;20/07/2024;07:00:00;SAO LEOPOLDO;JOCOB WEBEL, 0, SANTO ANDRE, SAO LEOPOLDO;VEICULO;sábado;-29.76972911384782, -51.1183147608571;;;;;;;;;;;;;;
257;PAQUISTAO;11;SCHARLAU;2024;21/07/2024;18:30:00;SAO LEOPOLDO;PAQUISTAO, 11, SCHARLAU, SAO LEOPOLDO;VEICULO;domingo;-29.715828,-51.158142;;;;;;;;;;;;;;
258;HEITOR MENDES GONCALVES;372;VICENTINA;2024;23/07/2024;02:00:00;SAO LEOPOLDO;HEITOR MENDES GONCALVES, 372, VICENTINA, SAO LEOPOLDO;RESIDENCIA;terça-feira;-29.774603,-51.165292;;;;;;;;;;;;;;
259;RAUL BOP;680;CAMPINA;2024;23/07/2024;20:00:00;SAO LEOPOLDO;RAUL BOP, 680, CAMPINA, SAO LEOPOLDO;VEICULO;terça-feira;-29.752898225269366, -51.16093773488511;;;;;;;;;;;;;;
260;CORONEL ATALIBIO TAURINO DE REZENDE;2084;ARROIO DA MANTEIGA;2024;25/07/2024;14:30:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 2084, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.738166506799182, -51.16690853202281;;;;;;;;;;;;;;
261;PRESIDENTE LUCENA;1271;SCHARLAU;2024;25/07/2024;20:30:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 1271, SCHARLAU, SAO LEOPOLDO;VEICULO;quinta-feira;-29.729087,-51.156893;;;;;;;;;;;;;;
262;FEITORIA;145;SAO JOSE;2024;28/07/2024;10:30:00;SAO LEOPOLDO;FEITORIA, 145, SAO JOSE, SAO LEOPOLDO;COMERCIO;domingo;-29.770298,-51.133671;;;;;;;;;;;;;;
263;ANCHIETA;445;CRISTO REI;2024;28/07/2024;09:30:00;SAO LEOPOLDO;ANCHIETA, 445, CRISTO REI, SAO LEOPOLDO;VEICULO;domingo;-29.780358063111994, -51.1516119896921;;;;;;;;;;;;;;
264;CORA CORALINA;0;SANTOS DUMONT;2024;29/07/2024;21:00:00;SAO LEOPOLDO;CORA CORALINA, 0, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.747372,-51.133442;;;;;;;;;;;;;;
265;SAO JOAO;555;CENTRO;2024;29/07/2024;22:00:00;SAO LEOPOLDO;SAO JOAO, 555, CENTRO, SAO LEOPOLDO;VEICULO;segunda-feira;-29.764229,-51.150894;;;;;;;;;;;;;;
266;MAUA;5360;SANTOS DUMONT;2024;30/07/2024;21:00:00;SAO LEOPOLDO;MAUA, 5360, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;terça-feira;-29.743204275071026, -51.14411764551626;;;;;;;;;;;;;;
267;LUIS CARLOS BIER;400;FEITORIA;2024;01/08/2024;02:30:00;SAO LEOPOLDO;LUIS CARLOS BIER, 400, FEITORIA, SAO LEOPOLDO;COMERCIO;quinta-feira;-29.75778425461691, -51.10390426371967;;;;;;;;;;;;;;
268;ARNALDO PEREIRA DA SILVA;551;SANTOS DUMONT;2024;01/08/2024;18:30:00;SAO LEOPOLDO;ARNALDO PEREIRA DA SILVA, 551, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.74129545950106, -51.14818334551639;;;;;;;;;;;;;;
269;OASIS;155;DUQUE DE CAXIAS;2024;01/08/2024;16:00:00;SAO LEOPOLDO;OASIS, 155, DUQUE DE CAXIAS, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.800525,-51.127066;;;;;;;;;;;;;;
270;NOVE DE MAIO;76;SCHARLAU;2024;02/08/2024;17:30:00;SAO LEOPOLDO;NOVE DE MAIO, 76, SCHARLAU, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.730010441840758, -51.15498303202286;;;;;;;;;;;;;;
271;JOSE BONIFACIO;555;CENTRO;2024;05/08/2024;14:30:00;SAO LEOPOLDO;JOSE BONIFACIO, 555, CENTRO, SAO LEOPOLDO;VEICULO;segunda-feira;-29.764924,-51.143483;;;;;;;;;;;;;;
272;SENADOR SALGADO FILHO;0;SANTOS DUMONT;2024;05/08/2024;23:30:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 0, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;segunda-feira;-29.724373,-51.149095;;;;;;;;;;;;;;
273;LINDOLFO COLLOR;963;CENTRO;2024;06/08/2024;20:30:00;SAO LEOPOLDO;LINDOLFO COLLOR, 963, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.769201,-51.150314;;;;;;;;;;;;;;
274;RODOLFO MULER;271;FEITORIA;2024;06/08/2024;19:30:00;SAO LEOPOLDO;RODOLFO MULER, 271, FEITORIA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.753680175065725, -51.088411087845074;;;;;;;;;;;;;;
275;PAROBE;365;SCHARLAU;2024;09/08/2024;15:30:00;SAO LEOPOLDO;PAROBE, 365, SCHARLAU, SAO LEOPOLDO;COMERCIO;sexta-feira;-29.729055,-51.151519;;;;;;;;;;;;;;
276;JOAO CORREA;933;CENTRO;2024;09/08/2024;23:00:00;SAO LEOPOLDO;JOAO CORREA, 933, CENTRO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.770785,-51.144362;;;;;;;;;;;;;;
277;OSVALDO ARANHA;933;CENTRO;2024;10/08/2024;17:00:00;SAO LEOPOLDO;OSVALDO ARANHA, 933, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.763633502053274, -51.15007864551561;;;;;;;;;;;;;;
278;PERY LUIS DE FREITAS;136;SCHARLAU;2024;10/08/2024;19:30:00;SAO LEOPOLDO;PERY LUIS DE FREITAS, 136, SCHARLAU, SAO LEOPOLDO;RESIDENCIA;sábado;-29.729800175077813, -51.159448460858265;;;;;;;;;;;;;;
279;PRIMEIRO DE MARCO;896;CENTRO;2024;10/08/2024;18:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 896, CENTRO, SAO LEOPOLDO;VEICULO;sábado;-29.769976,-51.145776;;;;;;;;;;;;;;
280;JOAO CORREA;3148;VICENTINA;2024;11/08/2024;23:30:00;SAO LEOPOLDO;JOAO CORREA, 3148, VICENTINA, SAO LEOPOLDO;PEDESTRE;domingo;-29.767942,-51.164814;;;;;;;;;;;;;;
281;JOAO CORREA;0;SAO JOSE;2024;11/08/2024;15:30:00;SAO LEOPOLDO;JOAO CORREA, 0, SAO JOSE, SAO LEOPOLDO;PEDESTRE;domingo;-29.769958,-51.134929;;;;;;;;;;;;;;
282;CANELEIRAS;42;RIO DOS SINOS;2024;12/08/2024;07:00:00;SAO LEOPOLDO;CANELEIRAS, 42, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.74296839216219, -51.14411790479511;;;;;;;;;;;;;;
283;PRIMEIRO DE MARCO;715;CENTRO;2024;12/08/2024;21:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 715, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.768387,-51.146144;;;;;;;;;;;;;;
284;VISCONDE DE SAO LEOPOLDO;83;VICENTINA;2024;12/08/2024;20:00:00;SAO LEOPOLDO;VISCONDE DE SAO LEOPOLDO, 83, VICENTINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.777356,-51.156439;;;;;;;;;;;;;;
285;FRANCISCO ALVES;466;SANTOS DUMONT;2024;13/08/2024;17:00:00;SAO LEOPOLDO;FRANCISCO ALVES, 466, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.731031228203502, -51.14587015023168;;;;;;;;;;;;;;
286;SENADOR SALGADO FILHO;4401;SANTOS DUMONT;2024;15/08/2024;19:30:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 4401, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;quinta-feira;-29.719573,-51.147980;;;;;;;;;;;;;;
287;BENTO GONCALVES;605;CENTRO;2024;16/08/2024;21:00:00;SAO LEOPOLDO;BENTO GONCALVES, 605, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.765195,-51.148037;;;;;;;;;;;;;;
288;SALDANHA DA GAMA;936;CENTRO;2024;17/08/2024;21:30:00;SAO LEOPOLDO;SALDANHA DA GAMA, 936, CENTRO, SAO LEOPOLDO;VEICULO;sábado;-29.768136,-51.148164;;;;;;;;;;;;;;
289;ALMIRANTE TAMANDARE;0;DUQUE DE CAXIAS;2024;20/08/2024;20:30:00;SAO LEOPOLDO;ALMIRANTE TAMANDARE, 0, DUQUE DE CAXIAS, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.78988177504702, -51.13936674551457;;;;;;;;;;;;;;
290;ALBERTO AUGUSTO BORN;194;SANTO ANDRE;2024;21/08/2024;19:30:00;SAO LEOPOLDO;ALBERTO AUGUSTO BORN, 194, SANTO ANDRE, SAO LEOPOLDO;VEICULO;quarta-feira;-29.776088,-51.117361;;;;;;;;;;;;;;
291;INDEPENDENCIA;937;CENTRO;2024;22/08/2024;16:30:00;SAO LEOPOLDO;INDEPENDENCIA, 937, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.767871,-51.145307;;;;;;;;;;;;;;
292;NAO SABE;0;SCHARLAU;2024;22/08/2024;01:30:00;SAO LEOPOLDO;NAO SABE, 0, SCHARLAU, SAO LEOPOLDO;VEICULO;quinta-feira;#N/D;;;;;;;;;;;;;;
293;DA JUSTICA;0;CRISTO REI;2024;26/08/2024;15:00:00;SAO LEOPOLDO;DA JUSTICA, 0, CRISTO REI, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.78225137505106, -51.149766432021046;;;;;;;;;;;;;;
294;SANTO ANGELO;61;SANTA TERESA;2024;29/08/2024;12:30:00;SAO LEOPOLDO;SANTO ANGELO, 61, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.788737,-51.137106;;;;;;;;;;;;;;
295;DOM JOAO BECKER;665;CENTRO;2024;30/08/2024;05:30:00;SAO LEOPOLDO;DOM JOAO BECKER, 665, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.760571,-51.148664;;;;;;;;;;;;;;
296;DO QUILOMBO;1525;FEITORIA;2024;30/08/2024;13:00:00;SAO LEOPOLDO;DO QUILOMBO, 1525, FEITORIA, SAO LEOPOLDO;VEICULO;sexta-feira;-29.769049945796976, -51.08461027721082;;;;;;;;;;;;;;
297;MARQUES DO HERVAL;754;CENTRO;2024;31/08/2024;19:00:00;SAO LEOPOLDO;MARQUES DO HERVAL, 754, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.765761748465888, -51.14487050318629;;;;;;;;;;;;;;
298;SANTO ANGELO;0;RIO BRANCO;2024;31/08/2024;23:00:00;SAO LEOPOLDO;SANTO ANGELO, 0, RIO BRANCO, SAO LEOPOLDO;PEDESTRE;sábado;-29.789476,-51.136529;;;;;;;;;;;;;;
299;FRANKFURT;68;FEITORIA;2024;01/09/2024;19:00:00;SAO LEOPOLDO;FRANKFURT, 68, FEITORIA, SAO LEOPOLDO;PEDESTRE;domingo;-29.751681418889635, -51.1033432320222;;;;;;;;;;;;;;
300;CAMARA MUNICIPAL;424;RIO DOS SINOS;2024;01/09/2024;03:00:00;SAO LEOPOLDO;CAMARA MUNICIPAL, 424, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;domingo;-29.753705112342992, -51.14904061124273;;;;;;;;;;;;;;
301;DOM JOAO BECKER;2400;SAO MIGUEL;2024;03/09/2024;12:30:00;SAO LEOPOLDO;DOM JOAO BECKER, 2400, SAO MIGUEL, SAO LEOPOLDO;VEICULO;terça-feira;-29.766032588332187, -51.16532393202158;;;;;;;;;;;;;;
302;FEITORIA;275;SAO JOSE;2024;04/09/2024;16:00:00;SAO LEOPOLDO;FEITORIA, 275, SAO JOSE, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.770091,-51.132348;;;;;;;;;;;;;;
303;VINTE DE SETEMBRO;222;SAO JOAO BATISTA;2024;06/09/2024;07:30:00;SAO LEOPOLDO;VINTE DE SETEMBRO, 222, SAO JOAO BATISTA, SAO LEOPOLDO;VEICULO;sexta-feira;-29.791539521605618, -51.166350892547634;;;;;;;;;;;;;;
304;MAUA;5659;RIO DOS SINOS;2024;09/09/2024;20:00:00;SAO LEOPOLDO;MAUA, 5659, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.744655,-51.144823;;;;;;;;;;;;;;
305;MARQUES DO HERVAL;0;CENTRO;2024;09/09/2024;20:00:00;SAO LEOPOLDO;MARQUES DO HERVAL, 0, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.771228,-51.143697;;;;;;;;;;;;;;
306;DAS MARGARIDAS;74;SANTOS DUMONT;2024;10/09/2024;22:00:00;SAO LEOPOLDO;DAS MARGARIDAS, 74, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.740970843871004, -51.1367149743518;;;;;;;;;;;;;;
307;SAO PAULO;665;CENTRO;2024;10/09/2024;17:30:00;SAO LEOPOLDO;SAO PAULO, 665, CENTRO, SAO LEOPOLDO;VEICULO;terça-feira;-29.763344,-51.143100;;;;;;;;;;;;;;
308;CAXIAS DO SUL;390;RIO DOS SINOS;2024;11/09/2024;20:00:00;SAO LEOPOLDO;CAXIAS DO SUL, 390, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.755638,-51.149510;;;;;;;;;;;;;;
309;SAO JOAQUIM;1477;CENTRO;2024;11/09/2024;15:00:00;SAO LEOPOLDO;SAO JOAQUIM, 1477, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.771384,-51.142749;;;;;;;;;;;;;;
310;HENRIQUE BIER;1491;CAMPINA;2024;12/09/2024;20:00:00;SAO LEOPOLDO;HENRIQUE BIER, 1491, CAMPINA, SAO LEOPOLDO;COMERCIO;quinta-feira;-29.742386,-51.162789;;;;;;;;;;;;;;
311;SOUZA NETO;127;SANTOS DUMONT;2024;12/09/2024;09:00:00;SAO LEOPOLDO;SOUZA NETO, 127, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.73176087507691, -51.14365387435221;;;;;;;;;;;;;;
312;SOUZA NETO;170;SANTOS DUMONT;2024;12/09/2024;09:00:00;SAO LEOPOLDO;SOUZA NETO, 170, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.731376,-51.143741;;;;;;;;;;;;;;
313;GASTAO;611;FEITORIA;2024;13/09/2024;20:30:00;SAO LEOPOLDO;GASTAO, 611, FEITORIA, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.760673,-51.103868;;;;;;;;;;;;;;
314;SANTO ANTONIO;959;CENTRO;2024;13/09/2024;00:30:00;SAO LEOPOLDO;SANTO ANTONIO, 959, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.767088,-51.151937;;;;;;;;;;;;;;
